Disease_Name,Crop,Organic_Remedy,Chemical_Treatment,Telugu_Audio
Leaf_Blight,Rice,Spray Neem oil 5ml/liter or Pseudomonas fluorescens 10g/liter; ensure proper field drainage,Spray Tricyclazole 75% WP @ 0.6g/liter or Hexaconazole 5% EC @ 2ml/liter,వరి పంటలో ఆకు ఎండు తెగులు గమనించబడింది. 5 మిల్లీలీటర్ల వేప నూనెను లీటరు నీటిలో కలిపి పిచికారీ చేయండి లేదా ట్రైసైక్లాజోల్ 0.6 గ్రాములు పిచికారీ చేయండి.
Blast,Rice,Use healthy seed; treat seeds with Trichoderma viride; avoid excessive nitrogen fertilizer,Spray Tricyclazole 75% WP @ 120g/acre or Isoprothiolane 40% EC @ 300ml/acre,వరి పంటలో అగ్గి తెగులు సోకింది. నత్రజని ఎరువులను తగ్గించండి. ట్రైకోడెర్మా విరిడేతో విత్తన శుద్ధి చేయండి లేదా ట్రైసైక్లాజోల్ పిచికారీ చేయండి.
Brown_Plant_Hopper,Rice,Form alleyways every 2-3 meters; drain water from field for 3-4 days to break pest cycle,Spray Pymetrozine 50% WDG @ 120g/acre or Triflumezopyrim 10% SC @ 94ml/acre,వరిలో సుడి దోమ ఆశించింది. పొలంలో నీటిని 3 రోజుల పాటు తీసివేయండి. పైమెట్రోజైన్ లేదా ట్రైఫ్లూమెజోపైరిమ్ పిచికారీ చేయండి.
Sheath_Blight,Rice,Apply neem cake @ 100kg/acre; maintain optimal spacing; clean weeds on bunds,Spray Validamycin 3% L @ 2.5ml/liter or Propiconazole 25% EC @ 1ml/liter,వరిలో పొడ తెగులు కనిపించింది. పొలం గట్లపై కలుపు మొక్కలను తొలగించండి. వాలిడామైసిన్ లేదా ప్రొపికోనజోల్ పిచికారీ చేయండి.
Powdery_Mildew,Chilli,Spray wettable sulfur @ 3g/liter or diluted milk solution (1:9); enhance air flow,Spray Hexaconazole 5% EC @ 2ml/liter or Azoxystrobin 23% SC @ 1ml/liter,మిరప పంటలో బూడిద తెగులు లక్షణాలు ఉన్నాయి. లీటరు నీటికి 3 గ్రాముల గంధకం లేదా హెక్సాకోనజోల్ 2 మిల్లీలీటర్లు కలిపి పిచికారీ చేయండి.
Leaf_Curl,Chilli,Install yellow/blue sticky traps (15/acre); spray neem oil 5ml/liter against whiteflies,Spray Diafenthiuron 50% WP @ 1.25g/liter or Acetamiprid 20% SP @ 0.2g/liter,మిరప పంటలో ఆకు ముడత మరియు తెల్లదోమ ప్రభావం ఉంది. ఎకరానికి 15 పసుపు జిగురు అట్టలు పెట్టండి. వేప నూనె లేదా ఎసిటామిప్రిడ్ పిచికారీ చేయండి.
Anthracnose,Chilli,Seed treatment with Trichoderma; remove infected twigs; avoid overhead sprinkler watering,Spray Mancozeb 75% WP @ 2.5g/liter or Tebuconazole 25.9% EC @ 1.5ml/liter,మిరపలో కాయ కుళ్లు లేదా కొమ్మ ఎండు తెగులు సోకింది. మాంకోజెబ్ లేదా టెబుకొనజోల్ పిచికారీ చేయండి.
Tikka_Disease,Groundnut,Spray 5% neem seed kernel extract; collect and burn diseased fallen leaves,Spray Carbendazim 12% + Mancozeb 63% WP @ 2g/liter or Chlorothalonil 75% WP @ 2g/liter,వేరుశనగ పంటలో టిక్కా ఆకుమచ్చ తెగులు ఉంది. వేప గింజల కషాయం లేదా కార్బండజిమ్ ప్లస్ మాంకోజెబ్ 2 గ్రాములు పిచికారీ చేయండి.
Stem_Rot,Groundnut,Deep summer plowing; apply Trichoderma viride enriched in farm yard manure to soil,Soil drenching around plant collar with Hexaconazole 5% EC @ 2ml/liter,వేరుశనగలో మొదలు కుళ్లు తెగులు సోకింది. సేంద్రీయ ఎరువులలో ట్రైకోడెర్మా కలిపి వేయండి. మొదళ్ళ వద్ద హెక్సాకోనజోల్ పిచికారీ చేయండి.
Downy_Mildew,Maize,Treat seed with Trichoderma; ensure good field drainage and avoid water stagnation,Spray Metalaxyl 8% + Mancozeb 64% WP @ 2.5g/liter,మొక్కజొన్నలో డౌనీ మిల్డ్యూ లేదా బూజు తెగులు ఉంది. పొలంలో నీరు నిల్వ ఉండకుండా చూసుకోండి. మెటలాక్సిల్ పిచికారీ చేయండి.
Fall_Armyworm,Maize,Erect pheromone traps @ 5/acre; apply neem seed powder or sand into central leaf whorls,Spray Chlorantraniliprole 18.5% SC @ 0.4ml/liter or Emamectin benzoate 5% SG @ 0.4g/liter into whorls,మొక్కజొన్నలో కత్తెర పురుగు దాడి చేసింది. సుడిలో వేప పిండి లేదా క్లోరాంట్రానిలిప్రోల్ మందును పిచికారీ చేయండి.
Early_Blight,Tomato,Practice crop rotation; mulch with straw to prevent soil splashing onto foliage,Spray Mancozeb 75% WP @ 2g/liter or Copper Oxychloride 50% WP @ 3g/liter,టమాటా పంటలో ముందస్తు ఆకుమచ్చ తెగులు ఉంది. మొక్కల చుట్టూ మల్చింగ్ చేయండి. మాంకోజెబ్ లేదా కాపర్ ఆక్సిక్లోరైడ్ పిచికారీ చేయండి.
Late_Blight,Tomato,Ensure adequate spacing and aeration; destroy lower infected foliage promptly,Spray Cymoxanil 8% + Mancozeb 64% WP @ 2g/liter or Dimethomorph 50% WP @ 1g/liter,టమాటాలో లేట్ బ్లైట్ తెగులు ఆశించింది. పొలంలో గాలి వెలుతురు ఉండేలా చూడండి. సైమోక్సానిల్ ప్లస్ మాంకోజెబ్ పిచికారీ చేయండి.
Bacterial_Wilt,Tomato,Apply agricultural lime to acidic soils; drench rhizosphere with Pseudomonas fluorescens,Drench soil with Streptocycline @ 0.2g/liter + Copper Oxychloride @ 2.5g/liter,టమాటాలో బ్యాక్టీరియల్ వాడిపోవు తెగులు గమనించబడింది. కాపర్ ఆక్సిక్లోరైడ్ మరియు స్ట్రెప్టోసైక్లిన్ ద్రావణాన్ని మొదళ్ళలో పోయండి.
Healthy_Leaf,General,Maintain optimal balanced irrigation and vermicompost application; inspect weekly,No synthetic chemical pesticide required. Regular preventive bio-nutrient spray,పంట ఆకులు ఆరోగ్యంగా ఉన్నాయి. ఎటువంటి పురుగు మందుల అవసరం లేదు. తగినంత నీరు మరియు సేంద్రీయ ఎరువులు అందించండి.
