Market,Yard,Commodity,Variety,Arrivals_Quintals,Min_Price_INR,Max_Price_INR,Modal_Price_INR,Unit,Date
Vizianagaram,Vizianagaram APMC Yard,Paddy (Dhan),Common (MTU 1010),1250,2320,2450,2380,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Paddy (Dhan),Grade A (BPT 5204),980,2480,2650,2560,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Maize (Corn),Yellow Hybrid,840,2150,2380,2250,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Groundnut (Pods),K-6 / TMV-2,620,5900,6750,6400,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Black Gram (Urad),PU-31,340,7800,8900,8350,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Green Gram (Moong),LGG-460,290,7200,8400,7900,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Red Gram (Toor),PRG-176,410,9100,10400,9800,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Dry Chilli,Guntur Sannam,520,11500,14200,12800,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Jute (Mesta),Raw Fiber Grade 1,450,4800,5600,5250,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Cashew Raw Nuts,Bold Selected,310,12800,14500,13600,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Jaggery (Gur),Local Golden,260,3900,4400,4150,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Tomato,Local Desi,580,1400,2200,1800,INR/Quintal,2026-09-12
Vizianagaram,Vizianagaram APMC Yard,Onion,Nashik Medium,720,1900,2600,2250,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Paddy (Dhan),Common (MTU 1010),1120,2300,2420,2360,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Paddy (Dhan),Grade A (RNR 15048),870,2450,2620,2530,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Maize (Corn),Local Hybrid,760,2120,2340,2220,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Groundnut (Pods),K-6 Machine Cleaned,540,5850,6680,6350,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Jute (Mesta),Golden Tossah,620,4900,5750,5350,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Black Gram (Urad),Local Bold,280,7750,8800,8250,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Red Gram (Toor),Desi Red,350,9000,10250,9650,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Sugarcane Jaggery,Bobbili Special Block,480,4000,4600,4300,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Dry Chilli,Teja Red,390,11800,14600,13100,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Cashew Raw Nuts,Grade A,220,12600,14200,13400,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Sesamum (Gingelly),White Till,160,11200,12800,12100,INR/Quintal,2026-09-12
Bobbili,Bobbili APMC Yard,Turmeric,Cured Finger,190,8400,9800,9100,INR/Quintal,2026-09-12
